,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,Sainte-Maxime,43.3,6.63,52.0,93,90,2.24,FR,1608492508
279,San Fernando del Valle de Catamarca,-28.47,-65.79,84.99,32,1,11.01,AR,1608492508
280,Raymond,43.9,-70.47,32.0,77,100,5.48,US,1608492508
281,Nísia Floresta,-6.09,-35.21,84.2,66,75,16.11,BR,1608492508
282,Havelock,34.88,-76.9,46.4,100,90,8.05,US,1608492265
283,Broome,42.25,-75.83,34.0,86,90,9.17,US,1608492509
284,Danilovka,50.36,44.12,14.99,95,98,10.8,RU,1608492509
285,Sorochinsk,52.43,53.16,-2.11,88,20,6.67,RU,1608492509
286,Marau,-28.45,-52.2,68.0,94,40,11.41,BR,1608492509
287,Kosh-Agach,50.0,88.67,-2.96,75,87,2.89,RU,1608492509
288,Tura,25.52,90.22,56.26,81,42,3.8,IN,1608492509
289,Dandong,40.13,124.39,19.24,77,0,1.97,CN,1608492509
290,Umm Kaddadah,13.6,26.69,70.39,22,0,10.67,SD,1608492509
291,Sobolevo,54.43,31.9,32.97,97,100,4.27,RU,1608492509
292,Mildura,-34.2,142.15,71.6,28,100,6.93,AU,1608492509
293,Vardø,70.37,31.11,30.2,92,75,21.92,NO,1608492510
294,Paphos,34.77,32.42,55.4,71,20,8.05,CY,1608492510
295,São Gabriel da Cachoeira,-0.13,-67.09,89.6,49,40,5.82,BR,1608492510
296,Kez,57.9,53.72,4.82,91,100,11.56,RU,1608492510
297,Praia,14.92,-23.51,75.2,64,75,18.34,CV,1608492510
298,Pombia,45.65,8.63,46.4,93,75,2.24,IT,1608492510
299,Port-Gentil,-0.72,8.78,80.6,88,75,10.29,GA,1608492510
300,Alekseyevka,50.63,38.69,13.95,96,20,7.27,RU,1608492510
301,Sainthia,23.95,87.67,58.23,37,94,7.05,IN,1608492510
302,Tra Vinh,9.93,106.35,70.63,75,100,6.91,VN,1608492510
303,Bengkulu,-3.8,102.27,74.55,85,97,4.52,ID,1608492511
304,Atasū,48.68,71.64,-9.45,91,39,5.97,KZ,1608492511
305,Cockburn Town,21.46,-71.14,78.8,74,40,16.11,TC,1608492511
306,Princeton,25.54,-80.41,81.0,61,40,10.29,US,1608492511
307,Dehlorān,32.69,47.27,55.42,47,0,2.91,IR,1608492511
308,Garoowe,8.41,48.48,77.27,53,0,18.12,SO,1608492511
309,Port Hawkesbury,45.62,-61.35,30.99,80,90,4.7,CA,1608492511
310,Gimli,50.63,-96.99,8.6,78,100,5.82,CA,1608492511
311,San Cristobal,7.77,-72.22,84.2,62,40,5.82,VE,1608492511
312,East London,-33.02,27.91,73.4,88,75,8.05,ZA,1608492511
313,Oga,46.46,10.35,48.99,100,75,1.12,IT,1608492512
314,Ponta Delgada,37.73,-25.67,62.6,88,75,13.87,PT,1608492512
315,Delhi,28.67,77.22,62.01,81,20,4.59,IN,1608492512
316,Nova Odesa,47.31,31.79,36.61,82,100,3.78,UA,1608492512
317,Omboué,-1.57,9.26,77.52,89,63,6.44,GA,1608492512
318,Bathsheba,13.22,-59.52,84.2,70,40,20.8,BB,1608492512
319,Yarkovo,57.4,67.08,14.09,85,99,15.19,RU,1608492512
320,Benin,9.5,2.25,81.75,22,0,2.68,BJ,1608492512
321,Umluj,25.02,37.27,74.68,61,0,10.16,SA,1608492512
322,Mata de São João,-12.53,-38.3,86.0,66,40,20.8,BR,1608492512
323,Poum,-20.23,164.02,78.46,72,78,7.78,NC,1608492512
324,Svetlaya,46.54,138.33,7.14,82,96,6.76,RU,1608492512
325,Ft. Pierce,27.45,-80.33,81.0,57,75,10.29,US,1608492264
326,Māngrol,21.12,70.12,71.26,57,0,5.7,IN,1608492513
327,Nikolayevka,53.13,47.2,2.52,92,28,3.78,RU,1608492513
328,Benguela,-12.58,13.41,75.6,71,100,3.8,AO,1608492513
329,Luanda,-8.84,13.23,78.8,74,75,3.36,AO,1608492513
330,Aripuanã,-9.17,-60.63,93.18,49,48,1.95,BR,1608492513
331,Dingle,11.0,122.67,76.3,90,100,7.4,PH,1608492513
332,Trelew,-43.25,-65.31,82.44,15,0,5.68,AR,1608492464
333,Karla,59.37,24.93,37.0,100,90,12.75,EE,1608492513
334,San Patricio,28.02,-97.52,71.01,46,20,4.7,US,1608492513
335,Terra Santa,-2.1,-56.49,92.79,48,97,3.15,BR,1608492513
336,Yinchuan,38.47,106.27,20.05,84,0,1.07,CN,1608492513
337,Nioki,-2.72,17.68,70.93,93,100,0.22,CD,1608492513
338,Inuvik,68.35,-133.72,-36.4,65,4,1.12,CA,1608492514
339,Eirunepé,-6.66,-69.87,91.33,51,83,3.62,BR,1608492514
340,Los Llanos de Aridane,28.66,-17.92,66.2,82,40,5.82,ES,1608492514
341,La Palma,33.85,-118.05,73.4,20,1,2.3,US,1608492514
342,Bilibino,68.05,166.44,-19.61,84,11,5.73,RU,1608492514
343,Khandyga,62.67,135.6,-44.59,72,0,1.12,RU,1608492514
344,Nikolayevsk-on-Amur,53.14,140.73,-16.29,84,20,4.76,RU,1608492514
345,Carutapera,-1.2,-46.02,84.69,62,4,9.31,BR,1608492514
346,Sterling,39.01,-77.43,44.6,75,90,8.05,US,1608492514
347,Verkhnyaya Inta,65.98,60.31,-11.63,89,82,5.75,RU,1608492514
348,Veisiejai,54.1,23.7,32.22,97,9,8.28,LT,1608492514
349,Nome,64.5,-165.41,-18.4,68,1,2.75,US,1608492515
350,Labuhan,-6.88,112.21,77.31,85,100,7.94,ID,1608492515
351,Bowen,-20.02,148.23,75.2,88,75,9.13,AU,1608492515
352,Tingo María,-9.29,-76.01,78.8,44,20,17.22,PE,1608492515
353,Forestville,38.85,-76.88,45.0,75,90,10.29,US,1608492386
354,Balkanabat,39.51,54.37,39.76,71,0,6.49,TM,1608492515
355,Babushkin,51.71,105.86,19.4,85,100,5.53,RU,1608492515
356,Smithers,54.78,-127.17,28.4,92,90,2.68,CA,1608492303
357,Nouadhibou,20.93,-17.03,71.6,56,0,8.05,MR,1608492515
358,Mazyr,52.05,29.25,31.57,98,0,3.83,BY,1608492515
359,Ormara,25.21,64.64,70.93,58,100,8.66,PK,1608492515
360,Koshurnikovo,54.17,93.3,10.98,96,100,3.11,RU,1608492516
361,Vao,-22.67,167.48,75.51,79,2,12.37,NC,1608492516
362,Iracoubo,5.48,-53.2,81.84,76,100,8.61,GF,1608492516
363,Fastiv,50.08,29.92,36.0,100,90,4.47,UA,1608492516
364,Kemin,42.78,75.69,17.73,92,99,0.81,KG,1608492516
365,Walvis Bay,-22.96,14.51,63.0,88,71,13.87,NA,1608492516
366,Samarai,-10.62,150.67,81.01,77,48,1.66,PG,1608492516
367,Avera,33.19,-82.53,51.01,85,90,2.98,US,1608492516
368,Ambulu,-8.35,113.61,77.04,86,66,4.56,ID,1608492516
369,Marawi,8.0,124.29,73.99,92,87,3.0,PH,1608492516
370,Pucallpa,-8.38,-74.55,93.2,49,40,10.29,PE,1608492516
371,Namatanai,-3.67,152.43,79.92,78,38,2.15,PG,1608492516
372,Mayo,38.89,-76.51,44.6,81,90,10.29,US,1608492517
373,Khani,41.96,42.96,41.0,93,90,6.93,GE,1608492517
374,Oranjemund,-28.55,16.43,65.26,80,100,16.55,NA,1608492517
375,Chara,56.91,118.26,-1.88,79,9,2.57,RU,1608492517
376,Prince Rupert,54.32,-130.32,44.6,81,90,6.93,CA,1608492517
377,Rørvik,64.86,11.24,46.4,61,0,10.29,NO,1608492517
378,Itoman,26.12,127.67,62.6,59,75,18.34,JP,1608492517
379,Zyryanka,65.75,150.85,-31.81,85,100,0.89,RU,1608492517
380,Calvinia,-31.47,19.78,80.46,29,97,7.23,ZA,1608492517
381,Nandi,13.39,77.7,62.6,100,40,2.24,IN,1608492517
382,Bluefields,12.01,-83.76,84.2,79,75,6.93,NI,1608492518
383,Kismayo,-0.36,42.55,79.45,81,32,12.91,SO,1608492518
384,Novaya Igirma,57.13,103.91,7.43,94,100,0.58,RU,1608492518
385,Laguna,38.42,-121.42,48.2,100,90,2.57,US,1608492276
386,Rio Brilhante,-21.8,-54.55,91.11,51,79,5.23,BR,1608492518
387,Katsuura,35.13,140.3,39.2,35,20,10.29,JP,1608492518
388,Delta del Tigre,-34.76,-56.39,71.6,52,75,13.87,UY,1608492481
389,Tefé,-3.35,-64.71,87.8,74,40,5.82,BR,1608492519
390,Aksu,41.12,80.26,17.04,86,100,0.38,CN,1608492519
391,Waipawa,-41.41,175.52,59.0,100,100,11.41,NZ,1608492340
392,Tuatapere,-46.13,167.68,47.98,88,100,4.16,NZ,1608492519
393,Saint-Joseph,-21.37,55.62,75.2,83,0,4.7,RE,1608492519
394,Palimbang,6.21,124.19,80.24,74,65,3.04,PH,1608492519
395,Mattru,7.62,-11.83,77.9,85,5,3.58,SL,1608492519
396,Nemuro,43.32,145.57,25.43,86,0,14.97,JP,1608492519
397,Emerald,-23.53,148.17,77.0,83,75,11.41,AU,1608492519
398,Rocha,-34.48,-54.33,65.86,54,80,20.07,UY,1608492519
399,San Juan de Arama,3.35,-73.89,83.43,61,39,7.65,CO,1608492519
400,Dzilam González,21.28,-88.93,85.75,54,17,3.22,MX,1608492519
401,Bhatkal,13.97,74.57,77.85,61,1,12.33,IN,1608492520
402,Natal,-5.79,-35.21,84.2,66,75,16.11,BR,1608492520
403,Częstochowa,50.8,19.12,36.0,94,90,6.93,PL,1608492520
404,Kirensk,57.79,108.11,1.0,92,100,1.59,RU,1608492520
405,Kalmunai,7.42,81.82,77.27,87,100,12.03,LK,1608492385
406,Chegdomyn,51.12,133.02,-21.33,85,16,1.32,RU,1608492520
407,Lavrentiya,65.58,-171.0,-10.5,87,0,12.68,RU,1608492520
408,Prado,-17.34,-39.22,81.7,70,91,16.89,BR,1608492327
409,Te Anau,-45.42,167.72,47.52,92,100,0.54,NZ,1608492520
410,Rondonópolis,-16.47,-54.64,95.13,35,100,5.03,BR,1608492520
411,Washougal,45.58,-122.35,51.01,97,100,1.9,US,1608492493
412,Kruisfontein,-34.0,24.73,72.0,85,50,1.99,ZA,1608492520
413,Paignton,50.44,-3.57,46.0,92,100,5.01,GB,1608492350
414,Skogn,63.7,11.2,48.2,74,0,24.16,NO,1608492521
415,Raglan,-37.8,174.88,64.99,90,49,4.0,NZ,1608492521
416,Geraldton,-28.77,114.6,60.8,82,0,9.17,AU,1608492521
417,Dunedin,-45.87,170.5,53.01,84,100,4.0,NZ,1608492420
418,Slave Lake,55.28,-114.77,33.8,86,90,23.04,CA,1608492521
419,Tazovsky,67.47,78.7,-31.5,84,25,9.01,RU,1608492522
420,Oron,4.83,8.23,80.2,81,0,6.96,NG,1608492522
421,Daru,-9.08,143.21,77.95,76,0,3.87,PG,1608492522
422,Burē,10.7,37.07,65.8,42,86,6.04,ET,1608492522
423,Ust'-Kulom,61.69,53.69,12.87,96,100,5.91,RU,1608492522
424,Pandan,14.05,124.17,79.39,85,100,13.91,PH,1608492522
425,Ashquelon,31.67,34.57,59.0,82,0,2.24,IL,1608492523
426,Bodden Town,19.28,-81.25,84.2,74,40,11.41,KY,1608492523
427,Anloga,5.79,0.9,82.4,83,20,11.41,GH,1608492523
428,Grindavik,63.84,-22.43,33.8,80,40,24.16,IS,1608492523
429,Korla,41.76,86.15,17.24,90,0,1.21,CN,1608492523
430,Vanimo,-2.67,141.3,78.8,83,96,3.18,PG,1608492524
431,Qui Nhon,13.77,109.23,70.03,87,100,24.36,VN,1608492524
432,São José da Laje,-9.01,-36.06,84.2,66,20,9.17,BR,1608492524
433,Batagay,67.63,134.63,-41.21,79,99,1.32,RU,1608492524
434,Taoudenni,22.68,-3.98,65.37,31,0,10.38,ML,1608492524
435,La Santisima Trinidad,-14.83,-64.9,93.2,56,40,11.41,BO,1608492524
436,Sisimiut,66.94,-53.67,15.4,82,100,14.09,GL,1608492524
437,Taşca,46.9,26.02,32.0,86,91,4.0,RO,1608492524
438,Kaitangata,-46.28,169.85,55.0,87,100,15.99,NZ,1608492525
439,Khāsh,28.22,61.22,44.6,60,0,5.3,IR,1608492352
440,Viedma,-40.81,-63.0,80.01,25,0,1.01,AR,1608492525
441,Laas,46.62,10.7,39.0,86,75,2.26,IT,1608492525
442,Guerrero Negro,27.98,-114.06,69.44,24,100,2.15,MX,1608492525
443,Nicolet,46.22,-72.62,30.2,92,100,2.24,CA,1608492525
444,Berdigestyakh,62.1,126.7,-28.28,84,100,2.28,RU,1608492525
445,Oudtshoorn,-33.59,22.2,68.0,88,9,11.41,ZA,1608492525
446,Chagoda,59.16,35.33,33.66,97,100,5.75,RU,1608492525
447,Byron Bay,-28.65,153.62,73.4,94,90,5.73,AU,1608492302
448,Vostok,46.49,135.88,-10.77,92,99,5.79,RU,1608492525
449,Marovoay,-16.1,46.63,77.0,83,40,6.93,MG,1608492525
450,Evensk,61.95,159.23,5.88,93,100,21.12,RU,1608492526
451,Biograd na Moru,43.94,15.45,46.99,93,20,2.24,HR,1608492526
452,St. George's,12.06,-61.75,86.0,74,20,16.11,GD,1608492259
453,Mogadishu,2.04,45.34,79.92,84,0,16.53,SO,1608492526
454,Lahaina,20.88,-156.68,80.6,65,40,14.99,US,1608492484
455,Pervomayskoye,43.92,46.71,40.28,92,100,7.09,RU,1608492526
456,Kazlų Rūda,54.77,23.5,35.6,96,90,5.82,LT,1608492526
457,Jalu,29.03,21.55,57.88,60,0,10.04,LY,1608492526
458,Ha Tinh,18.33,105.9,57.0,61,99,7.36,VN,1608492526
459,Koumac,-20.57,164.28,76.12,72,21,2.62,NC,1608492526
460,Meerane,50.85,12.47,39.2,71,100,5.82,DE,1608492527
461,Tezu,27.92,96.17,58.84,35,0,3.91,IN,1608492527
462,Yüksekova,37.57,44.29,26.6,92,20,4.7,TR,1608492527
463,Farah,32.5,62.5,44.01,71,0,3.56,AF,1608492313
464,San Miguel de Tucumán,-26.82,-65.22,86.0,27,0,4.7,AR,1608492527
465,Bol,13.46,14.71,76.75,45,63,7.58,TD,1608492527
466,Valparaíso,-33.04,-71.63,78.8,38,0,13.87,CL,1608492443
467,Simpang,-1.27,104.08,75.42,94,80,3.36,ID,1608492527
468,Moussoro,13.64,16.49,75.45,18,0,9.75,TD,1608492527
469,North Bend,43.41,-124.22,57.0,100,90,13.87,US,1608492527
470,Russell,32.35,-85.2,55.99,87,90,3.36,US,1608492527
471,Pangkalanbuun,-2.68,111.62,73.99,98,100,2.53,ID,1608492491
472,Valley City,46.92,-98.0,30.2,86,20,11.41,US,1608492527
473,Karwar,14.8,74.13,75.16,64,26,9.1,IN,1608492386
474,Stokmarknes,68.56,14.91,44.6,87,75,18.34,NO,1608492528
475,Leningradskiy,69.38,178.42,-1.91,90,100,7.78,RU,1608492528
476,Kärdla,59.0,22.75,37.0,95,100,8.01,EE,1608492528
477,Prince Albert,53.2,-105.77,14.0,85,90,9.17,CA,1608492528
478,Moroni,-11.7,43.26,80.74,74,3,1.54,KM,1608492528
479,Dunda,-8.12,34.25,68.09,84,5,0.63,TZ,1608492528
480,Nantucket,41.28,-70.1,48.2,81,20,10.29,US,1608492528
481,Kahului,20.89,-156.47,75.2,78,40,11.41,US,1608492264
482,Port Blair,11.67,92.75,79.86,79,1,13.31,IN,1608492528
483,Fairbanks,64.84,-147.72,-4.0,76,90,1.74,US,1608492528
484,Schöneiche,52.47,13.68,41.0,80,0,8.05,DE,1608492528
485,Ongandjera,-17.88,15.07,87.19,27,100,10.94,NA,1608492529
486,Bilma,18.69,12.92,64.27,28,0,3.42,NE,1608492529
487,Buraidah,26.33,43.98,60.8,82,75,11.41,SA,1608492529
488,Shimoda,34.67,138.95,41.07,68,4,13.09,JP,1608492529
489,Jimeta,9.28,12.47,81.48,17,0,0.67,NG,1608492529
490,Tcholliré,8.4,14.17,76.93,19,16,1.32,CM,1608492436
491,Korsakovo,53.27,37.36,22.96,98,88,7.38,RU,1608492529
492,Sirte,31.21,16.59,63.9,61,0,14.9,LY,1608492529
493,Homer,59.64,-151.55,30.2,92,75,5.82,US,1608492529
494,Puerto Princesa City,9.74,118.74,82.4,83,20,6.93,PH,1608492529
495,Maamba,-17.37,27.15,74.25,81,100,3.22,ZM,1608492529
496,Yekaterinogradskaya,43.76,44.23,32.0,94,90,4.5,RU,1608492529
497,Camacha,33.08,-16.33,60.8,77,20,2.24,PT,1608492530
498,Tocopilla,-22.09,-70.2,70.95,48,86,6.58,CL,1608492530
499,Sur,22.57,59.53,70.68,68,1,9.35,OM,1608492530
500,San Matías,-16.37,-58.4,102.06,28,74,5.95,BO,1608492530
501,Gornoye Loo,43.71,39.6,44.6,87,90,4.47,RU,1608492530
502,Gao,16.64,1.64,78.75,17,47,7.45,ML,1608492530
503,Hatten,53.02,8.35,48.0,87,20,9.17,DE,1608492530
504,Skrunda,56.68,22.02,35.6,93,81,6.93,LV,1608492530
505,Palmer,42.16,-72.33,32.0,68,90,6.71,US,1608492530
506,Artvin Province,41.17,41.83,46.4,81,75,18.34,TR,1608492531
507,Hofn,64.25,-15.21,35.96,78,100,7.16,IS,1608492531
508,Mopti,14.67,-4.0,80.6,32,0,12.75,ML,1608492531
509,Mayna,54.11,47.62,-0.36,93,0,6.26,RU,1608492531
510,San Policarpo,12.18,125.51,80.76,83,100,13.69,PH,1608492531
511,Tabuk,17.42,121.44,70.84,92,100,3.6,PH,1608492531
512,Aranos,-24.13,19.12,75.18,61,100,8.95,NA,1608492531
513,Kintampo,8.06,-1.73,87.15,30,71,1.95,GH,1608492531
514,Murovani Kurylivtsi,48.72,27.52,33.01,93,94,3.0,UA,1608492531
515,Zorritos,-3.68,-80.68,82.4,69,40,9.17,PE,1608492531
516,Kaka,37.35,59.61,36.09,82,0,7.61,TM,1608492532
517,Flinders,-34.58,150.86,66.0,91,100,1.01,AU,1608492532
518,Nueva Guinea,11.69,-84.46,82.56,71,7,12.12,NI,1608492532
519,Lensk,60.73,114.93,-4.67,88,100,9.57,RU,1608492532
520,Rodolfo Sánchez Taboada,31.72,-116.57,75.99,5,0,5.01,MX,1608492532
521,Esim,4.87,-2.24,80.17,79,89,5.06,GH,1608492532
522,Barra de Tecoanapa,16.52,-98.75,85.77,56,100,9.57,MX,1608492532
523,Dalby,-27.18,151.27,72.0,83,37,1.01,AU,1608492533
524,Miles City,46.41,-105.84,51.8,37,1,26.4,US,1608492533
525,Petra,30.32,35.48,51.69,55,0,3.91,JO,1608492533
526,Kingman,35.19,-114.05,57.0,25,1,5.82,US,1608492461
527,Rawson,-43.3,-65.1,75.88,25,3,5.7,AR,1608492533
528,Egvekinot,66.32,-179.17,-13.38,85,10,14.41,RU,1608492533
529,Hrodna,53.69,23.83,31.98,98,11,8.43,BY,1608492533
530,Marsá Maţrūḩ,31.35,27.25,62.6,67,40,8.37,EG,1608492403
531,High Level,58.52,-117.14,-9.4,76,75,4.7,CA,1608492533
532,Buchanan,5.88,-10.05,77.0,88,40,3.36,LR,1608492533
533,Antalaha,-14.9,50.28,76.53,89,99,4.72,MG,1608492533
534,Yangi Marg`ilon,40.43,71.72,33.8,89,100,4.0,UZ,1608492533
535,Tabory,58.52,64.55,14.11,85,100,14.88,RU,1608492534
536,Ribeira Grande,38.52,-28.7,64.4,93,75,20.8,PT,1608492534
537,Ostrovnoy,68.05,39.51,26.76,97,100,19.37,RU,1608492534
538,Hervey Bay,-25.3,152.85,77.0,81,45,3.0,AU,1608492534
539,Cidreira,-30.18,-50.21,79.84,52,100,10.22,BR,1608492534
540,Willowmore,-33.29,23.49,69.62,71,0,16.8,ZA,1608492534
541,Parit Buntar,5.13,100.49,78.8,83,40,3.36,MY,1608492534
542,Xining,36.62,101.77,9.7,65,0,3.94,CN,1608492534
543,Independence,39.09,-94.42,50.0,42,1,10.29,US,1608492304
544,Nakhon Thai,17.1,100.84,60.28,68,83,4.34,TH,1608492534
545,Stillwater,36.12,-97.06,55.4,49,1,8.05,US,1608492534
546,Zeya,53.75,127.27,-8.79,88,100,0.67,RU,1608492534
547,Granada,37.25,-3.25,51.01,86,2,1.01,ES,1608492534
548,Ixtapa,20.7,-105.2,77.0,61,20,4.7,MX,1608492535
549,Shiyan,32.65,110.78,36.84,73,0,1.86,CN,1608492535
550,Haines Junction,60.75,-137.51,18.55,91,0,6.06,CA,1608492535
551,Kīranūr,10.57,78.79,71.6,94,20,6.93,IN,1608492535
552,Kuytun,54.34,101.5,14.4,95,100,2.06,RU,1608492535
553,Juneau,58.3,-134.42,39.0,74,75,11.41,US,1608492475
554,Solnechnyy,50.72,136.63,-5.89,83,0,2.75,RU,1608492535
555,Srednekolymsk,67.45,153.68,-37.12,83,1,1.63,RU,1608492535
556,Presidente Médici,-11.18,-61.9,88.45,63,56,5.44,BR,1608492536
557,Aasiaat,68.71,-52.87,2.84,82,85,9.24,GL,1608492536
